slug,kind,without,with_role,allowance,note
c-1702,業務独占・名称独占,歯科医業を行えず、歯科医師を名乗れない。,歯科医業を独占的に行える。,,独占・名称独占は歯科医師法に基づく。
c-2202,必置,常時50人以上の事業場で選任義務のある衛生管理者になれない。,業種を問わず衛生管理者として選任され、職場の衛生管理・労働環境の改善を担える。,"月2,000〜10,000円程度",必置は労働安全衛生法に基づく。第一種は全業種対応。
c-2203,必置,常時50人以上の事業場で選任義務のある衛生管理者になれない。,有害業務の少ない業種（情報・金融・卸小売など）で衛生管理者として選任され、衛生管理を担える。,"月2,000〜10,000円程度",必置は労働安全衛生法に基づく（第二種は業種限定）。
c-6703,業務独占,一定規模のボイラーの取扱作業主任者になれない。,伝熱面積に応じたボイラーの取扱作業主任者として従事できる。,"月3,000〜10,000円程度",独占業務は労働安全衛生法（ボイラー則）に基づく。
c-4115,業務独占・必置,第2類・第3類医薬品の販売や購入者への情報提供を担えない。,ドラッグストア等で第2類・第3類医薬品を販売・情報提供できる専門職として働ける。,"月5,000〜20,000円程度",医薬品医療機器等法に基づく。店舗により必置。
c-3209,名称独占,マンション管理士を名乗れない（独占業務はない）。,管理組合の運営・大規模修繕・管理規約などの専門コンサルとして活動できる（名称独占）。,,名称独占はマンション管理適正化法に基づく。独占業務はない点に注意。
c-3210,業務独占・必置,管理受託契約の重要事項説明や管理事務報告を担えず、管理業者が置く管理業務主任者（管理組合30に1人以上）になれない。,重要事項説明・管理事務報告などの独占的業務を担い、必置要員として管理会社で重宝される。,"月5,000〜20,000円程度",マンション管理適正化法に基づく。
c-1205,必置,"事業用電気工作物（電圧5万V未満・出力5,000kW未満）の保安監督を担う電気主任技術者になれない。",事業用電気工作物の工事・維持・運用の保安監督を担える。設置義務のある選任要員として評価される。,"月5,000〜30,000円程度",必置は電気事業法に基づく。
c-3625,一般（スキル証明）,独占業務はない。経理・会計の基礎スキルを客観的に示しにくい。,商業簿記の基礎知識を証明でき、経理・事務職の就職や実務で評価される。,,業務独占・必置ではない。手当は企業により異なる。
c-3624,一般（スキル証明）,独占業務はない。,商業簿記・工業簿記の知識を証明でき、経理・財務職で高く評価される。転職でも武器になる。,"月1,000〜10,000円程度",業務独占・必置ではない。手当は企業により異なる。
c-2516,一般（スキル証明）,独占業務はない。,資産設計・保険・税・年金の相談スキルを証明でき、金融・保険・不動産業界で評価される。,,業務独占・必置ではない。手当は企業により異なる。
c-1801,名称独占,保健師を名乗って保健指導を行えない。,地域や企業で保健指導・健康管理を担う専門職として名乗れる。,,名称独占は保健師助産師看護師法に基づく。
c-1802,業務独占・名称独占,助産（分娩の介助）や妊産婦の保健指導を業として行えず、助産師を名乗れない。,助産・妊産婦や新生児の保健指導を担える。,,独占・名称独占は保健師助産師看護師法に基づく。
c-1908,業務独占・名称独占,放射線の人体への照射（X線撮影等）を行えず、診療放射線技師を名乗れない。,医師の指示のもとX線撮影やCT・放射線治療などの照射業務を担える。,,独占・名称独占は診療放射線技師法に基づく。
c-1901,名称独占,臨床検査技師を名乗れず、一部の生理学的検査等を担えない。,血液・尿・生理機能などの臨床検査を担う専門職として働ける。,,名称独占は臨床検査技師等に関する法律に基づく。
c-1910,名称独占,言語聴覚士を名乗れない。,ことば・きこえ・飲み込みのリハビリを担う専門職として働ける。,,名称独占は言語聴覚士法に基づく。
c-1904,名称独占,理学療法士を名乗れない。,医師の指示のもと運動療法など理学療法を担う専門職として働ける。,,名称独占は理学療法士及び作業療法士法に基づく。
c-1905,名称独占,作業療法士を名乗れない。,医師の指示のもと作業療法（日常動作・応用動作の回復）を担う専門職として働ける。,,名称独占は理学療法士及び作業療法士法に基づく。
c-1903,名称独占,臨床工学技士を名乗れず、生命維持管理装置の操作を担えない。,人工呼吸器・人工心肺・透析装置など生命維持管理装置の操作・保守を担える。,,名称独占は臨床工学技士法に基づく。
c-2206,業務独占・名称独占,救急救命処置を業として行えず、救急救命士を名乗れない。,救急現場・搬送中に医師の指示のもと救急救命処置を担える。,,独占・名称独占は救急救命士法に基づく。
c-1907,業務独占・名称独占,歯科予防処置などを業として行えず、歯科衛生士を名乗れない。,歯科予防処置・歯科診療補助・歯科保健指導を担える。,,独占・名称独占は歯科衛生士法に基づく。
c-1906,業務独占・名称独占,歯科技工（義歯・被せ物などの作製）を業として行えず、歯科技工士を名乗れない。,歯科医師の指示書に基づき義歯や補綴物の作製・加工を担える。,,独占・名称独占は歯科技工士法に基づく。
c-2104,業務独占・名称独占,柔道整復（骨折・脱臼・打撲・捻挫の施術）を業として行えず、柔道整復師を名乗れない。,接骨院・整骨院で柔道整復の施術を担える。開業も可能。,,独占・名称独占は柔道整復師法に基づく。
c-2101,業務独占・名称独占,あん摩・マッサージ・指圧を業として行えず、名乗れない。,あん摩マッサージ指圧師として施術を担える。開業も可能。,,独占・名称独占はあん摩マツサージ指圧師等に関する法律に基づく。
c-2102,業務独占・名称独占,はり（鍼）の施術を業として行えず、はり師を名乗れない。,鍼の施術を担える。開業も可能。,,独占・名称独占はあん摩マツサージ指圧師等に関する法律に基づく。
c-2103,業務独占・名称独占,きゅう（灸）の施術を業として行えず、きゅう師を名乗れない。,灸の施術を担える。開業も可能。,,独占・名称独占はあん摩マツサージ指圧師等に関する法律に基づく。
c-2210,名称独占,公認心理師を名乗れない（独占業務はない）。,国家資格の心理職として名乗れ、医療・教育・福祉・司法などで評価される。,,独占業務はない。名称独占は公認心理師法に基づく。
c-2002,名称独占,栄養士を名乗れない。,給食施設や事業所などで栄養指導・献立作成を担う専門職として働ける。,,名称独占は栄養士法に基づく。
c-6004,名称独占,製菓衛生師を名乗れない（製菓の実務自体は無資格でも可）。,製菓衛生師として名乗れ、菓子製造の衛生・信頼の証明になる。食品衛生責任者にもなりやすい。,,名称独占は製菓衛生師法に基づく。業務独占ではない。
c-1408,業務独占,基本測量・公共測量における測量を業として行えない。,基本・公共測量の計画・実施を担う測量士として従事できる。,,独占業務は測量法に基づく。
c-1409,業務独占,測量士の作成した計画に従う測量を業として担えない。,測量士を補助して測量を行える。,,独占業務は測量法に基づく。
c-3203,業務独占・名称独占,表示に関する登記のための調査・測量や申請代理を報酬を得て行えず、土地家屋調査士を名乗れない。,不動産の表示登記に必要な調査・測量・申請代理の独占業務を担える。,,独占・名称独占は土地家屋調査士法に基づく。
c-3201,業務独占・名称独占,不動産の鑑定評価を業として行えず、不動産鑑定士を名乗れない。,不動産の鑑定評価という独占業務を担える。,,独占・名称独占は不動産の鑑定評価に関する法律に基づく。
c-2405,業務独占・必置,通関書類の審査・記名（通関士の確認）を担えない。,輸出入通関書類の審査・記名を担う通関士として従事できる（通関業者に必置）。,"月5,000〜20,000円程度",独占・必置は通関業法に基づく。
c-2404,業務独占・名称独占,海事に関する行政手続きの代理・書類作成を報酬を得て行えず、海事代理士を名乗れない。,船舶登録や海技免許など海事手続きの代理・書類作成を担える。,,独占・名称独占は海事代理士法に基づく。
c-9019,必置・名称,賃貸住宅管理業者に必置の業務管理者になれない。,賃貸住宅管理業の業務管理者として重要事項説明や管理業務の管理・監督を担える。,"月5,000〜15,000円程度",必置は賃貸住宅管理業法に基づく（一定の実務経験等の要件あり）。
c-3301,名称独占,通訳案内士を名乗って有償ガイドを行えない（2018年の法改正で無資格でも有償ガイド自体は可能）。,通訳案内士として専門性を示し、質の高い有償ガイドで信頼を得られる。,,2018年施行の改正法で業務独占は廃止され、名称独占のみ。
c-1203,必置,出力・電圧の制限なく事業用電気工作物の保安監督を担う電気主任技術者になれない。,すべての事業用電気工作物の工事・維持・運用の保安監督を担える。,"月10,000〜40,000円程度",必置は電気事業法に基づく。
c-1204,必置,電圧17万V未満の事業用電気工作物の保安監督を担う電気主任技術者になれない。,電圧17万V未満の事業用電気工作物の保安監督を担える。,"月10,000〜35,000円程度",必置は電気事業法に基づく。
c-1622,必置・名称的,予報業務許可事業者で気象現象の予想を行えない。,予報業務許可事業者で現象の予想を担える（許可事業者に必置）。テレビ・防災分野でも活躍できる。,,気象業務法に基づく。
c-1603,必置,第一種エネルギー管理指定工場に必置のエネルギー管理者になれない。,大規模工場でエネルギーの使用合理化・管理を担うエネルギー管理者として選任される。,"月5,000〜20,000円程度",必置は省エネ法に基づく。
c-1602,必置,特定工場に必置の公害防止管理者になれない。,ばい煙・排水など公害防止設備の管理・監督を担う公害防止管理者として選任される。,"月3,000〜15,000円程度",必置は特定工場公害防止組織法に基づく。
c-1609,必置,毒物劇物を扱う事業所に必置の取扱責任者になれない。,毒物劇物の製造・輸入・販売事業所で保健衛生上の管理・監督を担える。,,必置は毒物及び劇物取締法に基づく。
c-1208,必置,電気通信事業者の一定の設備に必置の電気通信主任技術者になれない。,電気通信ネットワークの工事・維持・運用の監督を担う主任技術者として選任される。,"月5,000〜20,000円程度",必置は電気通信事業法に基づく。
c-3706,必置,貨物自動車運送事業者に必置の運行管理者になれない。,トラック運送事業で点呼・乗務割・安全指導など運行の安全管理を担える（必置）。,"月3,000〜10,000円程度",必置は貨物自動車運送事業法に基づく。
c-3705,必置,旅客自動車運送事業者に必置の運行管理者になれない。,バス・タクシー等で運行の安全管理を担う運行管理者として選任される（必置）。,"月3,000〜10,000円程度",必置は道路運送法に基づく。
c-2308,必置,居宅介護支援事業所等に必置の介護支援専門員になれず、ケアプランの作成を担えない。,ケアプラン（居宅サービス計画）の作成や給付管理を担う必置の専門職として働ける。,"月5,000〜15,000円程度",必置は介護保険法に基づく。
c-4205,必置,貸金業者の営業所に必置の貸金業務取扱主任者になれない。,貸金業の営業所で法令順守の助言・指導を担う必置の要員として重宝される。,"月3,000〜15,000円程度",必置は貸金業法に基づく。
c-4201,登録必須,外務員登録を受けられず、株式・投資信託などの勧誘・販売（外務行為）ができない。,証券会社等で金融商品の外務行為を担える。,,金融商品取引法に基づく（外務員登録が必須）。
c-5206,業務独占,（甲種は全類対応）指定数量以上の危険物の取扱い・立会いができない。,すべての類の危険物を取り扱い、無資格者の作業に立ち会える。保安監督者にもなれる。,"月3,000〜10,000円程度",独占業務は消防法に基づく。
c-5208,業務独占,第4類の一部（ガソリン等）に限られる取扱いすらできない。,第4類のうち引火点130℃以上の物品など、限定された危険物を取り扱える（立会いは不可）。,,独占業務は消防法に基づく。丙種は取扱範囲が限定。
c-4501,業務独占,消火設備・警報設備などの工事・整備を業として行えない。,甲種の対応区分の消防用設備等の工事・整備を担える。,"月3,000〜15,000円程度",独占業務は消防法に基づく。甲種は工事も可能。
c-4502,業務独占,消防用設備等の整備を業として行えない。,乙種の対応区分の消防用設備等の整備・点検を担える。,"月3,000〜10,000円程度",独占業務は消防法に基づく。乙種は整備・点検。
c-6702,業務独占,伝熱面積の大きいボイラーの取扱作業主任者になれない。,大規模ボイラーを含む取扱作業主任者として従事できる。,"月3,000〜15,000円程度",独占業務は労働安全衛生法に基づく。
c-6719,業務独占,つり上げ荷重5トン以上のクレーン・デリックの運転ができない。,つり上げ荷重の制限なくクレーン・デリックの運転を担える。,"月3,000〜15,000円程度",独占業務は労働安全衛生法に基づく。
c-1605,業務独占,作業環境測定（デザイン・サンプリング・分析）を業として担えない。,指定作業場の作業環境測定を担う専門職として従事できる（第一種は分析まで）。,"月5,000〜20,000円程度",独占業務は作業環境測定法に基づく。
c-1606,業務独占,作業環境測定のサンプリング等を業として担えない。,作業環境測定（簡易測定機器によるサンプリング等）を担える。,"月3,000〜15,000円程度",独占業務は作業環境測定法に基づく（分析は第一種）。
c-1315,必置,建設現場に必置の監理技術者・主任技術者になれない。,建築工事現場の監理技術者・主任技術者として工程・品質・安全・原価を管理できる（必置）。,"月5,000〜30,000円程度",必置は建設業法に基づく。
c-1316,必置,建設現場に必置の主任技術者になれない。,中小規模の建築工事現場の主任技術者として施工管理を担える（必置）。,"月3,000〜20,000円程度",必置は建設業法に基づく。
c-1404,必置,建設現場に必置の監理技術者・主任技術者になれない。,土木工事現場の監理技術者・主任技術者として施工管理を担える（必置）。,"月5,000〜30,000円程度",必置は建設業法に基づく。
c-1405,必置,建設現場に必置の主任技術者になれない。,中小規模の土木工事現場の主任技術者として施工管理を担える（必置）。,"月3,000〜20,000円程度",必置は建設業法に基づく。
c-1206,必置,建設現場に必置の監理技術者・主任技術者になれない。,電気工事現場の監理技術者・主任技術者として施工管理を担える（必置）。,"月5,000〜30,000円程度",必置は建設業法に基づく。
c-7110,必置,建設現場に必置の監理技術者・主任技術者になれない。,管工事現場の監理技術者・主任技術者として施工管理を担える（必置）。,"月5,000〜30,000円程度",必置は建設業法に基づく。
c-2601,必置,幼稚園の教員（教諭）として働けない。,幼稚園で必置の教員として保育・教育を担える。,,必置は教育職員免許法・学校教育法に基づく。
c-3112,名称独占,キャリアコンサルタントを名乗れない（独占業務はない）。,国家資格のキャリア支援専門家として名乗れ、相談・支援の場で信頼を得られる。,,独占業務はない。名称独占は職業能力開発促進法に基づく。
c-1565,名称独占,情報処理安全確保支援士（登録セキスペ）を名乗れない（独占業務はない）。,国家資格のセキュリティ専門家として名乗れ、官公庁調達や社内で評価される。,,独占業務はない。名称独占は情報処理促進法に基づく。
c-2511,名称独占,中小企業診断士を名乗れない（独占業務はない）。,経営コンサルの国家資格者として名乗れ、公的支援業務や信用面で有利。,,独占業務はない。名称独占は中小企業支援法に基づく。
c-1909,名称独占,視能訓練士を名乗れない。,眼科で視機能検査や矯正訓練を担う専門職として働ける。,,名称独占は視能訓練士法に基づく。
c-2205,名称独占,義肢装具士を名乗れない。,医師の指示のもと義肢・装具の採型・製作・適合を担う専門職として働ける。,,名称独占は義肢装具士法に基づく。
c-2701,任用資格,公共図書館などで司書（専門的職員）として任用されにくい。,図書館で資料の選定・レファレンス・目録作成など専門業務を担える。,,図書館法に基づく司書資格（任用資格）。
c-2703,必置・任用,博物館に必置の学芸員として任用されない。,博物館で資料の収集・保管・展示・調査研究を担う専門的職員（学芸員）になれる。,,必置は博物館法に基づく専門的職員。
c-1303,業務独占,木造建築物で一定規模を超える設計・工事監理ができない。,一定規模までの木造建築物の設計・工事監理を行える。,,独占業務は建築士法に基づく。
c-1304,名称,建築設備士を名乗れず、建築士への高度な設備設計の助言者として位置づけられにくい。,建築設備の専門家として建築士に助言でき、設備設計で信頼を得られる。,,建築士法に基づく名称。
c-2407,一般（技能検定）,知的財産管理技能士（1級）を名乗れない（独占業務はない）。,特許・商標など知的財産管理の高度なスキルを国家検定で証明でき、企業の知財・法務で高く評価される。,,技能検定。業務独占ではない（名乗るには合格が必要）。
c-2408,一般（技能検定）,知的財産管理技能士（2級）を名乗れない（独占業務はない）。,知的財産管理の実務スキルを国家検定で証明でき、知財・法務職で評価される。,,技能検定。業務独占ではない。
c-2409,一般（技能検定）,知的財産管理技能士（3級）を名乗れない（独占業務はない）。,知的財産の基礎知識を国家検定で証明でき、就職・実務の足がかりになる。,,技能検定。業務独占ではない。
c-1610,必置,火薬類を扱う事業所に必置の取扱保安責任者になれない。,火薬類の取扱い・保安の監督を担う保安責任者として選任される。,,必置は火薬類取締法に基づく。
c-1611,必置,火薬類を扱う事業所に必置の取扱保安責任者になれない（取扱量の範囲は限定）。,一定範囲の火薬類の取扱い・保安の監督を担う保安責任者として選任される。,,必置は火薬類取締法に基づく（乙種は範囲限定）。
c-1218,必置,放射性同位元素等を扱う事業所に必置の放射線取扱主任者になれない。,放射線障害の防止に関する監督を担う主任者として選任される（第1種は取扱区分が広い）。,"月5,000〜20,000円程度",必置は放射性同位元素等規制法に基づく。
c-1219,必置,放射性同位元素等を扱う事業所に必置の放射線取扱主任者になれない（区分は限定）。,一定区分の放射線障害防止の監督を担う主任者として選任される。,,必置は放射性同位元素等規制法に基づく（第2種は区分限定）。
c-1607,業務独占,エックス線装置を用いる作業の作業主任者になれない。,エックス線作業の作業主任者として被ばく防止を管理できる。,,独占業務（作業主任者）は労働安全衛生法に基づく。
c-1237,業務独占,発破（火薬を用いた破壊）の業務に従事できない。,せん孔・装てん・結線・点火など発破の業務を担える。,,独占業務は労働安全衛生法に基づく。
c-5503,業務独占,アセチレン等を用いる溶接・溶断作業の作業主任者になれない。,ガス溶接作業の作業主任者として作業を指揮・管理できる。,,独占業務（作業主任者）は労働安全衛生法に基づく。
c-1227,必置,冷凍のための高圧ガス製造施設に必置の冷凍保安責任者になれない。,大規模な冷凍設備の保安を統括する冷凍保安責任者として選任される。,"月3,000〜15,000円程度",必置は高圧ガス保安法に基づく。
c-1225,必置,高圧ガス製造事業所に必置の保安統括者・保安技術管理者等になれない。,化学系の高圧ガス製造施設で保安の監督を担う責任者として選任される。,"月5,000〜20,000円程度",必置は高圧ガス保安法に基づく。
c-1226,必置,高圧ガス製造事業所に必置の保安統括者・保安技術管理者等になれない。,機械系の高圧ガス製造施設で保安の監督を担う責任者として選任される。,"月5,000〜20,000円程度",必置は高圧ガス保安法に基づく。
c-4104,必置,高圧ガスの販売事業所に必置の販売主任者になれない。,高圧ガス販売に係る保安の監督を担う販売主任者として選任される（第1種は取扱範囲が広い）。,"月3,000〜10,000円程度",必置は高圧ガス保安法に基づく。
c-4105,必置,高圧ガス（LPガス等）の販売事業所に必置の販売主任者になれない。,LPガス等の販売に係る保安の監督を担う販売主任者として選任される。,"月3,000〜10,000円程度",必置は高圧ガス保安法に基づく（第2種は範囲限定）。
c-1313,必置,特定建築物（大規模ビル等）に必置の建築物環境衛生管理技術者になれない。,大規模建築物の空気環境・給排水・清掃・衛生の維持管理を統括する技術者として選任される。,"月5,000〜20,000円程度",必置は建築物衛生法に基づく。
c-9065,必置,ガス事業者に必置のガス主任技術者になれない。,ガス工作物の工事・維持・運用の保安監督を担う主任技術者として選任される。,"月5,000〜20,000円程度",必置はガス事業法に基づく。
c-7405,必置,浄化槽管理業に必要な技術管理者（浄化槽管理士）を担えない。,浄化槽の保守点検を担う専門職として従事できる。,,必置は浄化槽法に基づく。
c-7130,必置,浄化槽工事業に必置の浄化槽設備士になれず、浄化槽工事の実地監督を担えない。,浄化槽工事の実地の監督を担う設備士として選任される。,,必置は浄化槽法に基づく。
c-4816,業務独占,モーターボートや小型船舶を操縦できない。,総トン数20トン未満などの小型船舶を操縦できる（マリンレジャー・漁業など）。,,独占業務は船舶職員及び小型船舶操縦者法に基づく。
c-7204,業務独占,送気式潜水などの潜水業務に従事できない。,潜水業務を担える（海洋土木・サルベージ・水中調査など）。,"月10,000〜40,000円程度",独占業務は労働安全衛生法に基づく。
c-6713,業務独占,制限荷重5トン以上の揚貨装置（船の荷役設備）を運転できない。,船舶の揚貨装置を運転して荷役作業を担える。,,独占業務は労働安全衛生法に基づく。
c-5819,必置的,認証工場で自動車の分解整備を担う有資格者になりにくい。,認証工場で自動車の分解整備を担え、経験を積めば整備主任者への道も開ける。,,道路運送車両法に基づく（整備主任者は要件あり）。
c-5825,必置的,高度な整備・検査や整備主任者・自動車検査員への道が限られる。,電子制御など高度な整備を担い、整備主任者・自動車検査員の要件を満たしやすい。,"月3,000〜15,000円程度",道路運送車両法に基づく。
c-1207,必置,建設現場に必置の主任技術者になれない。,電気工事現場の主任技術者として施工管理を担える（必置）。,"月3,000〜20,000円程度",必置は建設業法に基づく。
c-1406,必置,建設現場に必置の監理技術者・主任技術者になれない。,造園工事現場の監理技術者・主任技術者として施工管理を担える（必置）。,"月5,000〜30,000円程度",必置は建設業法に基づく。
c-1407,必置,建設現場に必置の主任技術者になれない。,中小規模の造園工事現場の主任技術者として施工管理を担える（必置）。,"月3,000〜20,000円程度",必置は建設業法に基づく。
c-1305,必置,建設現場に必置の監理技術者・主任技術者になれない。,建設機械施工の監理技術者・主任技術者として施工管理を担える（必置）。,"月5,000〜30,000円程度",必置は建設業法に基づく。
c-1306,必置,建設現場に必置の主任技術者になれない。,建設機械施工の主任技術者として施工管理を担える（必置）。,"月3,000〜20,000円程度",必置は建設業法に基づく。
c-7111,必置,建設現場に必置の主任技術者になれない。,管工事現場の主任技術者として施工管理を担える（必置）。,"月3,000〜20,000円程度",必置は建設業法に基づく。
c-4509,必置,一定規模の建物・施設に必置の防火管理者になれない。,建物の防火管理者として消防計画の作成・避難訓練などを担える（必置）。,,必置は消防法に基づく。
c-1538,一般（スキル証明）,独占業務はない。ITの基礎知識を客観的に示しにくい。,IT（技術・経営・法務）の基礎を国家試験で証明でき、就職・社内評価で有利になる。,,業務独占・必置ではない。
c-1505,一般（スキル証明）,独占業務はない。,ITエンジニアの基礎スキルを国家試験で証明でき、IT就職・転職で評価される。,,業務独占・必置ではない。手当は企業により異なる。
c-1504,一般（スキル証明）,独占業務はない。,応用的なIT・マネジメント力を国家試験で証明でき、上位職・SE転職で評価される。,"月3,000〜20,000円程度",業務独占・必置ではない。手当・報奨金は企業により異なる。
c-7026,業務独占,足場の組立て・解体等の作業主任者になれない。,足場の組立て・解体等の作業主任者として、作業方法の決定・作業の直接指揮・安全装置の点検などを担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-7022,業務独占,型枠支保工の組立て等の作業主任者になれない。,型枠支保工の組立て等の作業主任者として、作業方法の決定・作業の直接指揮・安全装置の点検などを担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-6904,業務独占,地山の掘削・土止め支保工の作業主任者になれない。,地山の掘削・土止め支保工の作業主任者として、作業方法の決定・作業の直接指揮・安全装置の点検などを担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-5202,業務独占,有機溶剤を扱うの作業主任者になれない。,有機溶剤を扱うの作業主任者として、作業方法の決定・作業の直接指揮・安全装置の点検などを担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-5203,業務独占,特定化学物質を扱うの作業主任者になれない。,特定化学物質を扱うの作業主任者として、作業方法の決定・作業の直接指揮・安全装置の点検などを担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-5101,業務独占,鉛を扱うの作業主任者になれない。,鉛を扱うの作業主任者として、作業方法の決定・作業の直接指揮・安全装置の点検などを担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-7208,業務独占,石綿を扱うの作業主任者になれない。,石綿を扱うの作業主任者として、作業方法の決定・作業の直接指揮・安全装置の点検などを担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-7206,業務独占,酸素欠乏危険の作業主任者になれない。,酸素欠乏危険の作業主任者として、作業方法の決定・作業の直接指揮・安全装置の点検などを担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-7207,業務独占,酸素欠乏・硫化水素危険の作業主任者になれない。,酸素欠乏・硫化水素危険の作業主任者として、作業方法の決定・作業の直接指揮・安全装置の点検などを担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
