slug,kind,title,provider,url,affiliate,note,source,checked_at
c-1505,テキスト,2026年度版 みんなが欲しかった！ 基本情報技術者の教科書＆問題集,TAC出版,https://www.amazon.co.jp/dp/4300121370,https://www.amazon.co.jp/dp/4300121370?tag=ue083093-22,教科書と問題集が1冊・シラバス9.2対応,編集部の選定（定番テキスト）,2026-06-26
c-1505,テキスト,令和07年 栢木先生の基本情報技術者教室,技術評論社,https://www.amazon.co.jp/dp/4297145340,https://www.amazon.co.jp/dp/4297145340?tag=ue083093-22,イメージ＆クレバー方式で要点を整理,編集部の選定（定番テキスト）,2026-06-26
c-3624,テキスト,みんなが欲しかった！ 簿記の教科書 日商2級 商業簿記 第15版,TAC出版,https://www.amazon.co.jp/dp/4300120676,https://www.amazon.co.jp/dp/4300120676?tag=ue083093-22,商業簿記の定番教科書,編集部の選定（定番テキスト）,2026-06-26
c-3624,テキスト,みんなが欲しかった！ 簿記の教科書 日商2級 工業簿記 第10版,TAC出版,https://www.amazon.co.jp/dp/4300115788,https://www.amazon.co.jp/dp/4300115788?tag=ue083093-22,工業簿記の定番教科書。2級は商工2冊で対策,編集部の選定（定番テキスト）,2026-06-26
c-3624,テキスト,スッキリわかる 日商簿記2級 商業簿記 第10版,TAC出版,https://www.amazon.co.jp/dp/4813274110,https://www.amazon.co.jp/dp/4813274110?tag=ue083093-22,テキストと問題集が一体型,編集部の選定（定番テキスト）,2026-06-26
c-5207,テキスト,10日で受かる！ 乙種第4類 危険物取扱者 すい〜っと合格（増補改訂3版）,オーム社,https://www.amazon.co.jp/dp/4910351086,https://www.amazon.co.jp/dp/4910351086?tag=ue083093-22,乙4の短期合格の定番。受験者数の多い乙4向け,編集部の選定（定番テキスト）,2026-06-26
c-5207,テキスト,乙種4類 危険物取扱者試験 令和7年版,公論出版,https://www.amazon.co.jp/dp/4862752926,https://www.amazon.co.jp/dp/4862752926?tag=ue083093-22,過去問中心で実戦力を養成,編集部の選定（定番テキスト）,2026-06-26
c-5207,テキスト,乙種4類 危険物取扱者試験 合格テキスト 令和7年版,公論出版,https://www.amazon.co.jp/dp/4862753191,https://www.amazon.co.jp/dp/4862753191?tag=ue083093-22,基礎固めのテキスト,編集部の選定（定番テキスト）,2026-06-26
c-6809,テキスト,ぜんぶ絵で見て覚える 第2種電気工事士 学科試験 すい〜っと合格 2026年版,オーム社,https://www.amazon.co.jp/dp/4274234312,https://www.amazon.co.jp/dp/4274234312?tag=ue083093-22,学科試験の定番。イラストで頻出ポイントを攻略,編集部の選定（定番テキスト）,2026-06-26
c-6809,テキスト,ぜんぶ絵で見て覚える 第2種電気工事士 技能試験 すい〜っと合格 2026年版,オーム社,https://www.amazon.co.jp/dp/4274234479,https://www.amazon.co.jp/dp/4274234479?tag=ue083093-22,技能試験対策。候補問題13問を実演動画付きで解説,編集部の選定（定番テキスト）,2026-06-26
c-6809,テキスト,すい〜っと合格 赤のハンディ ぜんぶ解くべし！ 第2種電気工事士 学科過去問 2026,オーム社,https://www.amazon.co.jp/dp/4274234304,https://www.amazon.co.jp/dp/4274234304?tag=ue083093-22,持ち運べる学科過去問集,編集部の選定（定番テキスト）,2026-06-26
c-2517,テキスト,2025-2026年版 みんなが欲しかった！ FPの教科書 3級,TAC出版,https://www.amazon.co.jp/dp/4300116016,https://www.amazon.co.jp/dp/4300116016?tag=ue083093-22,フルカラーの定番教科書。CBT模試つき,編集部の選定（定番テキスト）,2026-06-26
c-2517,テキスト,2025-2026年版 みんなが欲しかった！ FPの問題集 3級,TAC出版,https://www.amazon.co.jp/dp/4300116059,https://www.amazon.co.jp/dp/4300116059?tag=ue083093-22,厳選過去問＋模試。教科書と完全リンク,編集部の選定（定番テキスト）,2026-06-26
c-2517,テキスト,史上最強のFP3級テキスト 25-26年版,ナツメ社,https://www.amazon.co.jp/dp/4816377328,https://www.amazon.co.jp/dp/4816377328?tag=ue083093-22,学科も実技も1冊でカバーする高カバー率の定番,編集部の選定（定番テキスト）,2026-06-26
c-2516,テキスト,2025-2026年版 みんなが欲しかった！ FPの教科書 2級・AFP,TAC出版,https://www.amazon.co.jp/dp/4300116024,https://www.amazon.co.jp/dp/4300116024?tag=ue083093-22,フルカラーの定番教科書。学科・実技に対応,編集部の選定（定番テキスト）,2026-06-26
c-2516,テキスト,2025-2026年版 みんなが欲しかった！ FPの問題集 2級・AFP,TAC出版,https://www.amazon.co.jp/dp/4300116067,https://www.amazon.co.jp/dp/4300116067?tag=ue083093-22,厳選過去問＋模試。教科書と完全リンク,編集部の選定（定番テキスト）,2026-06-26
c-2516,テキスト,'25-'26年本試験をあてる TAC直前予想模試 FP技能士2級・AFP,TAC出版,https://www.amazon.co.jp/dp/4300113947,https://www.amazon.co.jp/dp/4300113947?tag=ue083093-22,学科3回・実技2回分の直前予想模試,編集部の選定（定番テキスト）,2026-06-26
c-3512,テキスト,史上最強の漢検マスター 2級問題集,ナツメ社,https://www.amazon.co.jp/dp/4816369198,https://www.amazon.co.jp/dp/4816369198?tag=ue083093-22,出る順A・B・Cで頻出を効率学習。意味掲載で辞書いらず,編集部の選定（定番テキスト）,2026-06-26
c-3512,テキスト,でる順×分野別 漢検問題集 2級 五訂版,旺文社,https://www.amazon.co.jp/dp/4010924543,https://www.amazon.co.jp/dp/4010924543?tag=ue083093-22,分野別×出る順で苦手をピンポイント対策,編集部の選定（定番テキスト）,2026-06-26
c-3512,テキスト,漢字検定2級〔頻出度順〕問題集,高橋書店,https://www.amazon.co.jp/dp/4471490710,https://www.amazon.co.jp/dp/4471490710?tag=ue083093-22,過去問分析の頻出度順。赤シート・模試付き,編集部の選定（定番テキスト）,2026-06-26
c-2302,テキスト,わかる！受かる！介護福祉士国家試験合格テキスト 2026,中央法規,https://www.amazon.co.jp/dp/4824302129,https://www.amazon.co.jp/dp/4824302129?tag=ue083093-22,1冊で全範囲を網羅する定番テキスト,編集部の選定（定番テキスト）,2026-06-26
c-2302,テキスト,見て覚える！介護福祉士国試ナビ 2026,中央法規,https://www.amazon.co.jp/dp/4824302277,https://www.amazon.co.jp/dp/4824302277?tag=ue083093-22,図表・イラストで全体像をつかむ。視覚的に理解,編集部の選定（定番テキスト）,2026-06-26
c-2302,テキスト,ユーキャンの介護福祉士 よくわかる！速習テキスト 2026年版,ユーキャン,https://www.amazon.co.jp/dp/4426616360,https://www.amazon.co.jp/dp/4426616360?tag=ue083093-22,フルカラー・パート合格試験対応。特典動画つき,編集部の選定（定番テキスト）,2026-06-26
c-4115,テキスト,【完全攻略】登録販売者試験 合格テキスト＆問題集,ナツメ社,https://www.amazon.co.jp/dp/4824300630,https://www.amazon.co.jp/dp/4824300630?tag=ue083093-22,手引き準拠で網羅性が高い定番,編集部の選定（定番テキスト）,2026-06-26
c-4115,テキスト,ゼロから完全攻略！ 登録販売者 独学テキスト,南山堂,https://www.amazon.co.jp/dp/4525707313,https://www.amazon.co.jp/dp/4525707313?tag=ue083093-22,独学者向けにかみ砕いた解説,編集部の選定（定番テキスト）,2026-06-26
c-4115,テキスト,登録販売者 合格のトリセツ テキスト＆一問一答 2025-26年版,LEC東京リーガルマインド,https://www.amazon.co.jp/dp/4844997491,https://www.amazon.co.jp/dp/4844997491?tag=ue083093-22,最新手引き対応。一問一答で知識を定着,編集部の選定（定番テキスト）,2026-06-26
c-1504,テキスト,キタミ式イラストIT塾 応用情報技術者 令和08年,技術評論社,https://www.amazon.co.jp/dp/4297153033,https://www.amazon.co.jp/dp/4297153033?tag=ue083093-22,イラスト中心で難所も図解。独学に人気,編集部の選定（定番テキスト）,2026-06-26
c-1504,テキスト,令和08年 応用情報技術者 合格教本,技術評論社,https://www.amazon.co.jp/dp/4297152673,https://www.amazon.co.jp/dp/4297152673?tag=ue083093-22,大滝・岡嶋による網羅型の定番教本,編集部の選定（定番テキスト）,2026-06-26
c-1504,テキスト,情報処理教科書 応用情報技術者 テキスト＆問題集 2026年版,翔泳社,https://www.amazon.co.jp/dp/4798194425,https://www.amazon.co.jp/dp/4798194425?tag=ue083093-22,過去問解説PDF・重要ポイント100付き,編集部の選定（定番テキスト）,2026-06-26
c-3701,テキスト,2026年度版 みんなが欲しかった！ 行政書士の教科書,TAC出版,https://www.amazon.co.jp/dp/4300119821,https://www.amazon.co.jp/dp/4300119821?tag=ue083093-22,フルカラー・別冊試験六法つきの定番基本書,編集部の選定（定番テキスト）,2026-06-26
c-3701,テキスト,2026年度版 合格革命 行政書士 基本テキスト,早稲田経営出版,https://www.amazon.co.jp/dp/4847153596,https://www.amazon.co.jp/dp/4847153596?tag=ue083093-22,条文・判例を網羅。別冊六法付き,編集部の選定（定番テキスト）,2026-06-26
c-3701,テキスト,2026年度版 みんなが欲しかった！ 行政書士の問題集,TAC出版,https://www.amazon.co.jp/dp/430011983X,https://www.amazon.co.jp/dp/430011983X?tag=ue083093-22,教科書と完全リンクの厳選過去問＋演習,編集部の選定（定番テキスト）,2026-06-26
c-2510,テキスト,うかる！ 社労士 テキスト＆問題集 2025年度版,日本経済新聞出版,https://www.amazon.co.jp/dp/429612093X,https://www.amazon.co.jp/dp/429612093X?tag=ue083093-22,テキストと問題集が一体の独学向け,編集部の選定（定番テキスト）,2026-06-26
c-2510,テキスト,2026年度版 みんなが欲しかった！ 社労士 合格へのはじめの一歩,TAC出版,https://www.amazon.co.jp/dp/4300118620,https://www.amazon.co.jp/dp/4300118620?tag=ue083093-22,フルカラーの入門書。学習の全体像をつかむ,編集部の選定（定番テキスト）,2026-06-26
c-2510,テキスト,ユーキャンの社労士 過去＆予想問題集 2026年版,ユーキャン,https://www.amazon.co.jp/dp/4426616638,https://www.amazon.co.jp/dp/4426616638?tag=ue083093-22,過去問＋予想・模試つきの問題演習,編集部の選定（定番テキスト）,2026-06-26
c-1803,テキスト,クエスチョン・バンク 看護師国家試験問題解説 2026,メディックメディア,https://www.amazon.co.jp/dp/489632952X,https://www.amazon.co.jp/dp/489632952X?tag=ue083093-22,合格者が選ぶ定番問題集。豊富な図解で理解,編集部の選定（定番テキスト）,2026-06-26
c-1803,テキスト,看護師・看護学生のためのレビューブック 2026,メディックメディア,https://www.amazon.co.jp/dp/4896329511,https://www.amazon.co.jp/dp/4896329511?tag=ue083093-22,10年分の国試内容を1冊に集約した定番,編集部の選定（定番テキスト）,2026-06-26
c-1803,テキスト,クエスチョン・バンク Select必修 2026,メディックメディア,https://www.amazon.co.jp/dp/4896329538,https://www.amazon.co.jp/dp/4896329538?tag=ue083093-22,必修問題対策に特化。取りこぼし防止に,編集部の選定（定番テキスト）,2026-06-26
c-2303,テキスト,【令和8年】福祉教科書 保育士 完全合格テキスト 上 2026年版,翔泳社,https://www.amazon.co.jp/dp/4798192376,https://www.amazon.co.jp/dp/4798192376?tag=ue083093-22,売上定番。専門家による分析で要点を整理（上巻）,編集部の選定（定番テキスト）,2026-06-26
c-2303,テキスト,【令和8年】福祉教科書 保育士 完全合格問題集 2026年版,翔泳社,https://www.amazon.co.jp/dp/4798192392,https://www.amazon.co.jp/dp/4798192392?tag=ue083093-22,過去問・模試つきの定番問題集,編集部の選定（定番テキスト）,2026-06-26
c-2303,テキスト,ユーキャンの保育士 速習テキスト 上 2026年版,ユーキャン,https://www.amazon.co.jp/dp/4426616506,https://www.amazon.co.jp/dp/4426616506?tag=ue083093-22,フルカラーの独学向け速習テキスト（上巻）,編集部の選定（定番テキスト）,2026-06-26
c-2202,テキスト,この1冊で合格！ 村中一英の第1種衛生管理者 テキスト＆問題集,KADOKAWA,https://www.amazon.co.jp/dp/4046043784,https://www.amazon.co.jp/dp/4046043784?tag=ue083093-22,人気講師の講義を再現。図表で要点を効率整理,編集部の選定（定番テキスト）,2026-06-26
c-2202,テキスト,ユーキャンの第1種・第2種衛生管理者 速習レッスン 2026年版,ユーキャン,https://www.amazon.co.jp/dp/4426616557,https://www.amazon.co.jp/dp/4426616557?tag=ue083093-22,イラスト・図表が豊富。一問一答423問収録,編集部の選定（定番テキスト）,2026-06-26
c-2202,テキスト,ユーキャンの第1種衛生管理者 重要過去問＆予想模試 2026年版,ユーキャン,https://www.amazon.co.jp/dp/4426616565,https://www.amazon.co.jp/dp/4426616565?tag=ue083093-22,試験9回分相当の問題で実戦力を養成,編集部の選定（定番テキスト）,2026-06-26
c-2203,テキスト,改訂3版 この1冊で合格！ 村中一英の第2種衛生管理者 テキスト＆問題集,KADOKAWA,https://www.amazon.co.jp/dp/4046077956,https://www.amazon.co.jp/dp/4046077956?tag=ue083093-22,人気講師による2種対応の定番,編集部の選定（定番テキスト）,2026-06-26
c-2203,テキスト,ユーキャンの第1種・第2種衛生管理者 速習レッスン 2026年版,ユーキャン,https://www.amazon.co.jp/dp/4426616557,https://www.amazon.co.jp/dp/4426616557?tag=ue083093-22,イラスト・図表が豊富。一問一答423問収録,編集部の選定（定番テキスト）,2026-06-26
c-2203,テキスト,ユーキャンの第2種衛生管理者 重要過去問＆予想模試 2026年版,ユーキャン,https://www.amazon.co.jp/dp/4426616573,https://www.amazon.co.jp/dp/4426616573?tag=ue083093-22,試験9回分相当の問題数を収録,編集部の選定（定番テキスト）,2026-06-26
c-2308,テキスト,2026年版 みんなが欲しかった！ ケアマネの教科書,TAC出版,https://www.amazon.co.jp/dp/4300116873,https://www.amazon.co.jp/dp/4300116873?tag=ue083093-22,フルカラー・出題カバー率90%。過去問を随所に配置,編集部の選定（定番テキスト）,2026-06-26
c-2308,テキスト,2026年版 みんなが欲しかった！ ケアマネの過去問題集,TAC出版,https://www.amazon.co.jp/dp/4300116881,https://www.amazon.co.jp/dp/4300116881?tag=ue083093-22,過去15年超から348問を厳選。法改正対応,編集部の選定（定番テキスト）,2026-06-26
c-2308,テキスト,ユーキャンのケアマネジャー 速習レッスン 2026年版,ユーキャン,https://www.amazon.co.jp/dp/4426616778,https://www.amazon.co.jp/dp/4426616778?tag=ue083093-22,赤シートつき。基本テキストに対応した速習型,編集部の選定（定番テキスト）,2026-06-26
c-1205,テキスト,いちばんわかりやすい！ 電験三種合格テキスト,成美堂出版,https://www.amazon.co.jp/dp/441522136X,https://www.amazon.co.jp/dp/441522136X?tag=ue083093-22,4科目の全体像を1冊でつかむ入門に最適,編集部の選定（定番テキスト）,2026-06-26
c-1205,テキスト,みんなが欲しかった！ 電験三種 理論の教科書＆問題集 第3版,TAC出版,https://www.amazon.co.jp/dp/4300108811,https://www.amazon.co.jp/dp/4300108811?tag=ue083093-22,科目別シリーズ。最重要の理論を完全対策,編集部の選定（定番テキスト）,2026-06-26
c-1205,テキスト,みんなが欲しかった！ 電験三種 電力の教科書＆問題集 第3版,TAC出版,https://www.amazon.co.jp/dp/430010882X,https://www.amazon.co.jp/dp/430010882X?tag=ue083093-22,科目別シリーズ。フルカラー＋重要過去問,編集部の選定（定番テキスト）,2026-06-26
c-3004,テキスト,すいすい学べる色彩検定2級・3級 合格テキスト×厳選問題×模試2回,ナツメ社,https://www.amazon.co.jp/dp/4815626197,https://www.amazon.co.jp/dp/4815626197?tag=ue083093-22,認定講師による2・3級対応のオールインワン,編集部の選定（定番テキスト）,2026-06-26
c-3004,テキスト,最短合格！ 色彩検定2級・3級テキスト＆問題集 第2版,新星出版社,https://www.amazon.co.jp/dp/4816368698,https://www.amazon.co.jp/dp/4816368698?tag=ue083093-22,人気のテキスト＋問題集一体型,編集部の選定（定番テキスト）,2026-06-26
c-3004,テキスト,合格率9割超！ 二宮恵理子の色彩検定3級 テキスト＆問題集,KADOKAWA,https://www.amazon.co.jp/dp/4046057645,https://www.amazon.co.jp/dp/4046057645?tag=ue083093-22,まず3級から。高合格率を誇る定番,編集部の選定（定番テキスト）,2026-06-26
c-2301,テキスト,わかる！受かる！社会福祉士国家試験合格テキスト 2026,中央法規,https://www.amazon.co.jp/dp/4824302137,https://www.amazon.co.jp/dp/4824302137?tag=ue083093-22,1冊で全範囲を網羅する定番テキスト,編集部の選定（定番テキスト）,2026-06-26
c-2301,テキスト,社会福祉士国家試験受験ワークブック 2026 専門科目,中央法規,https://www.amazon.co.jp/dp/4824302196,https://www.amazon.co.jp/dp/4824302196?tag=ue083093-22,重要項目＋一問一答で理解度を確認,編集部の選定（定番テキスト）,2026-06-26
c-2301,テキスト,見て覚える！社会福祉士国試ナビ 2025,中央法規,https://www.amazon.co.jp/dp/4824300436,https://www.amazon.co.jp/dp/4824300436?tag=ue083093-22,図表・暗記テクで視覚的に整理,編集部の選定（定番テキスト）,2026-06-26
c-4201,テキスト,うかる！ 証券外務員一種 必修テキスト 2025-2026年版,日本経済新聞出版,https://www.amazon.co.jp/dp/4296050826,https://www.amazon.co.jp/dp/4296050826?tag=ue083093-22,一種対策の定番テキスト,編集部の選定（定番テキスト）,2026-06-26
c-4201,テキスト,うかる！ 証券外務員一種 必修問題集 2025-2026年版,日本経済新聞出版,https://www.amazon.co.jp/dp/4296050842,https://www.amazon.co.jp/dp/4296050842?tag=ue083093-22,11年連続の定番問題集。模試つき,編集部の選定（定番テキスト）,2026-06-26
c-4201,テキスト,うかる！ 証券外務員二種 最速テキスト 2025-2026年版,日本経済新聞出版,https://www.amazon.co.jp/dp/4296050834,https://www.amazon.co.jp/dp/4296050834?tag=ue083093-22,二種から始める人向けの最速テキスト,編集部の選定（定番テキスト）,2026-06-26
c-6808,テキスト,ぜんぶ絵で見て覚える 第1種電気工事士 学科試験 すい〜っと合格 2026年版,オーム社,https://www.amazon.co.jp/dp/4274234428,https://www.amazon.co.jp/dp/4274234428?tag=ue083093-22,学科試験の定番。イラストで頻出ポイントを攻略,編集部の選定（定番テキスト）,2026-06-26
c-6808,テキスト,ぜんぶ絵で見て覚える 第1種電気工事士 技能試験 すい〜っと合格 2026年版,オーム社,https://www.amazon.co.jp/dp/4274234460,https://www.amazon.co.jp/dp/4274234460?tag=ue083093-22,技能試験対策。実演動画付き,編集部の選定（定番テキスト）,2026-06-26
c-6808,テキスト,すい〜っと合格 赤のハンディ ぜんぶ解くべし！ 第1種電気工事士 学科過去問 2026,オーム社,https://www.amazon.co.jp/dp/427423441X,https://www.amazon.co.jp/dp/427423441X?tag=ue083093-22,持ち運べる学科過去問集,編集部の選定（定番テキスト）,2026-06-26
c-3706,テキスト,改訂2版 この1冊で合格！ ルネスタよしおの運行管理者 貨物 テキスト＆問題集,KADOKAWA,https://www.amazon.co.jp/dp/4046075503,https://www.amazon.co.jp/dp/4046075503?tag=ue083093-22,人気YouTuberによる1冊完結型,編集部の選定（定番テキスト）,2026-06-26
c-3706,テキスト,いちばんわかりやすい！ 運行管理者〈貨物〉合格テキスト,成美堂出版,https://www.amazon.co.jp/dp/441523867X,https://www.amazon.co.jp/dp/441523867X?tag=ue083093-22,図解中心で初学者にもわかりやすい,編集部の選定（定番テキスト）,2026-06-26
c-3706,テキスト,ユーキャンの運行管理者〔貨物〕 過去6回問題集 2026年版,ユーキャン,https://www.amazon.co.jp/dp/4426616662,https://www.amazon.co.jp/dp/4426616662?tag=ue083093-22,過去6回分＋体験版CBTで実戦対策,編集部の選定（定番テキスト）,2026-06-26
c-1404,テキスト,2026年版 1級土木施工 第1次検定 徹底図解テキスト＆問題集,成美堂出版,https://www.amazon.co.jp/dp/4816378243,https://www.amazon.co.jp/dp/4816378243?tag=ue083093-22,図解中心のテキスト＋問題集一体型,編集部の選定（定番テキスト）,2026-06-26
c-1404,テキスト,1級土木施工管理技士 第一次検定 分野別過去問題集 2026年度版,CIC日本建設情報センター,https://www.amazon.co.jp/dp/4910920897,https://www.amazon.co.jp/dp/4910920897?tag=ue083093-22,分野別で頻出を効率対策,編集部の選定（定番テキスト）,2026-06-26
c-1404,テキスト,1級土木施工管理技士 過去問コンプリート 2026年版,誠文堂新光社,https://www.amazon.co.jp/dp/4416525737,https://www.amazon.co.jp/dp/4416525737?tag=ue083093-22,最新過去問8年分を完全収録,編集部の選定（定番テキスト）,2026-06-26
c-1315,テキスト,2025年度版 わかって合格る 1級建築施工管理技士 一次検定8年過去問題集,TAC出版,https://www.amazon.co.jp/dp/4300114560,https://www.amazon.co.jp/dp/4300114560?tag=ue083093-22,本試験8年分を収録した過去問題集,編集部の選定（定番テキスト）,2026-06-26
c-1315,テキスト,建築土木教科書 1級建築施工管理技士［第一次検定］出るとこだけ！,翔泳社,https://www.amazon.co.jp/dp/4798176052,https://www.amazon.co.jp/dp/4798176052?tag=ue083093-22,頻出に絞った要点整理型テキスト,編集部の選定（定番テキスト）,2026-06-26
c-1315,テキスト,1級建築施工管理技士 第一次検定 テキスト（改訂第二版）,CIC日本建設情報センター,https://www.amazon.co.jp/dp/4910920498,https://www.amazon.co.jp/dp/4910920498?tag=ue083093-22,合格に必要な知識を体系的に解説,編集部の選定（定番テキスト）,2026-06-26
c-1301,テキスト,ラクラク突破の1級建築士スピード学習帳 2025,エクスナレッジ,https://www.amazon.co.jp/dp/4767833485,https://www.amazon.co.jp/dp/4767833485?tag=ue083093-22,要点解説＋2000問超を1冊に。独学の入口に,編集部の選定（定番テキスト）,2026-06-26
c-1301,テキスト,一級建築士試験 出題キーワード別問題集 2026年度版,建築資料研究社,https://www.amazon.co.jp/dp/4761503637,https://www.amazon.co.jp/dp/4761503637?tag=ue083093-22,過去問をキーワード別に整理。弱点補強に最適,編集部の選定（定番テキスト）,2026-06-26
c-1301,テキスト,令和7年度版 1級建築士試験 学科 過去問スーパー7,総合資格学院,https://www.amazon.co.jp/dp/4864175543,https://www.amazon.co.jp/dp/4864175543?tag=ue083093-22,直近7年分を本試験形式で通し演習,編集部の選定（定番テキスト）,2026-06-26
c-2511,テキスト,2026年度版 みんなが欲しかった！ 中小企業診断士の教科書 上,TAC出版,https://www.amazon.co.jp/dp/4300118876,https://www.amazon.co.jp/dp/4300118876?tag=ue083093-22,フルカラー。企業経営理論・財務会計・運営管理の3科目,編集部の選定（定番テキスト）,2026-06-26
c-2511,テキスト,2026年度版 みんなが欲しかった！ 中小企業診断士の教科書 下,TAC出版,https://www.amazon.co.jp/dp/4300118884,https://www.amazon.co.jp/dp/4300118884?tag=ue083093-22,経済学・経営情報・経営法務・中小企業政策の4科目,編集部の選定（定番テキスト）,2026-06-26
c-2511,テキスト,2026年度版 みんなが欲しかった！ 中小企業診断士 合格へのはじめの一歩,TAC出版,https://www.amazon.co.jp/dp/4300118868,https://www.amazon.co.jp/dp/4300118868?tag=ue083093-22,イラスト・板書で全体像をつかむ入門書,編集部の選定（定番テキスト）,2026-06-26
c-1302,テキスト,二級建築士 はじめの一歩 学科対策テキスト,学芸出版社,https://www.amazon.co.jp/dp/4761526378,https://www.amazon.co.jp/dp/4761526378?tag=ue083093-22,初学者向けにかみ砕いた学科テキスト,編集部の選定（定番テキスト）,2026-06-26
c-1302,テキスト,2026年度版 わかって合格る 二級建築士 学科8年過去問題集,TAC出版,https://www.amazon.co.jp/dp/4300117594,https://www.amazon.co.jp/dp/4300117594?tag=ue083093-22,学科8年分を効率重視で攻略,編集部の選定（定番テキスト）,2026-06-26
c-1302,テキスト,令和7年度版 2級建築士試験 学科 厳選問題集500＋100,総合資格学院,https://www.amazon.co.jp/dp/4864175586,https://www.amazon.co.jp/dp/4864175586?tag=ue083093-22,頻出500問＋最新125問を分野別に演習,編集部の選定（定番テキスト）,2026-06-26
c-3210,テキスト,2026年度版 管理業務主任者 基本テキスト,TAC出版,https://www.amazon.co.jp/dp/4300120277,https://www.amazon.co.jp/dp/4300120277?tag=ue083093-22,過去10年の出題箇所がわかる定番テキスト,編集部の選定（定番テキスト）,2026-06-26
c-3210,テキスト,2026年度版 みんなが欲しかった！ マンション管理士・管理業務主任者 合格へのはじめの一歩,TAC出版,https://www.amazon.co.jp/dp/4300120218,https://www.amazon.co.jp/dp/4300120218?tag=ue083093-22,やさしい入門書。両資格の重なりを一気に学習,編集部の選定（定番テキスト）,2026-06-26
c-3210,テキスト,マンション管理士・管理業務主任者 総合テキスト 上 民法／区分所有法等,TAC出版,https://www.amazon.co.jp/dp/4300115516,https://www.amazon.co.jp/dp/4300115516?tag=ue083093-22,独学をサポートする総合テキスト（上巻）,編集部の選定（定番テキスト）,2026-06-26
c-3209,テキスト,2026年度版 みんなが欲しかった！ マンション管理士・管理業務主任者 合格へのはじめの一歩,TAC出版,https://www.amazon.co.jp/dp/4300120218,https://www.amazon.co.jp/dp/4300120218?tag=ue083093-22,やさしい入門書。両資格の重なりを一気に学習,編集部の選定（定番テキスト）,2026-06-26
c-3209,テキスト,2026年度版 マンション管理士 一問一答セレクト1000,TAC出版,https://www.amazon.co.jp/dp/430012034X,https://www.amazon.co.jp/dp/430012034X?tag=ue083093-22,本試験23年分を分析した一問一答1000問,編集部の選定（定番テキスト）,2026-06-26
c-3209,テキスト,マンション管理士・管理業務主任者 総合テキスト 上 民法／区分所有法等,TAC出版,https://www.amazon.co.jp/dp/4300115516,https://www.amazon.co.jp/dp/4300115516?tag=ue083093-22,独学をサポートする総合テキスト（上巻）,編集部の選定（定番テキスト）,2026-06-26
